d82c07cd 629f6fbe b50a1c5d
c2094cac e3e70682 1d98245b
6baa9455 0a5d2f34 7f800000
42485e3a f728b4fa 8a98058d
82e2e662 7c65c1e5 80000000
67a9c378 eb1167b3 bc157158
c8a70639 d4713d60 33b13e62
4da5e709 f7c1bd87 955b375e
7a024204 5ba91faf 5dc52b58
9558867f e443df78 00000000
e87a1613 37ebdcd9 f007b80d
81332876 23a7711a 9d08f4d8
48268673 23c6612f 63d6e4ae
c17c6279 1846d424 e8a27a4e
9e4d6e3c cca5a5a1 111ebded
40212ef7 fcbd04c3 82da4d14
e8e5216a 88561712 7f800000
fb97d435 b4862b21 7f800000
cf6a659e 9a164106 74c7ae3c
e6f4590b 259f4329 ff800000
4f65d4d9 19488dec 7592af7e
bad640fb 12e0c8b2 e77401ee
e61a441c d9b8a714 4bd5df57
af19922a 5487ce1e 9a10bea8
78de5857 8f4ff31e ff800000
19c78df4 5a921187 000aedeb
6f25e2a2 50f24455 5daf49e3
9c6316b9 a3f2c9bf 37ef7245
e9bb17bc 3458a748 f4dd121b
f77383c1 8d723104 7f800000
7a1d5006 71545a13 483da5ca
dd84f39e 85776e9a 7f800000
42af9fc3 0ff18e02 723a206a
ce164dba eb2083e6 226fb6c0
8c778ea6 ea7e9d49 00000000
03983ca8 17e0aa3c 2b2d7858
b83e90ec d71037d1 20a922d1
66194cb1 b5d32b16 efb9d876
d3290a4c c8f8e3d0 49adde87
ab0c1681 a0116be5 4a769c5e
004ae545 9ca5499d a2e7ffbb
7e5b1e7f d3fbf47a e9dea311
de1b372a 55485822 c846559c
3e70f16a baf3897a c2fd45f4
534097ca b421eaeb de983fe5
ded733e8 101fbccc ff800000
30e9c5cc eac1c14f 859a6fcb
9148624f 38c1962e 98047e94
3d15eef7 cda8056c aee470f4
f7b0b7d2 247a8333 ff800000
cd9d2b7d 8b0163c1 7f800000
72ae2244 1759edc3 7f800000
149818d1 fe43c49e 80000000
51ef1922 e005b860 b164dec3
820865d6 ff7b118e 00000000
eece328b 7d41e602 b1081e79
1beb3711 4d2b9deb 0e2f6f41
8d1fd9b7 4a84eb03 8219ef99
b4e1357d 1ff39849 d46cad82
8c25166a 552f233a 80000008
d080e66e ec188efb 23d84cd6
8a5006c1 3405095c 95c8269c
f6be1f72 cca74147 69918030
9a6a5f92 8c1745a7 4dc65116
966e1277 49a3e80e 8c39eb1e
71eacd05 1775336d 7f800000
98a6416d cc457821 0bd788d1
6288e1a5 5129fb7c 50ce2612
935ddd72 3dfabc08 94e28636
4a5308cc 2f120554 5ab8fd74
307bf326 d24bace4 9d9e5690
2fcd81b5 0870e15c 66da67f0
9cdeb3e6 fb3675b8 00000000
a81ad477 42930b33 a506c71e
79fdef7c 11af923d 7f800000
16febaa0 adc0da7a a8a9115e
c1f254b8 215663ab e010aeb1
e07405eb 2648ee38 f99b7397
ec62b2c8 09e469e6 ff800000
d7ab7928 148b2758 ff800000
e5eeac76 b306d1a8 72629a14
ec4f217b d450fe4a 577db7f3
8a64c1b9 aef9c00b 1aea7b31
642bfa42 d67e55fd cd2d1a52
b48d73f1 864a7a50 6db2d812
468ff53d 85940927 ff800000
cfc6e625 3c49d76f d2fc4496
